"filename", "language", "Vue", "TypeScript", "JavaScript", "SCSS", "Markdown", "comment", "blank", "total"
"/Users/peaker/dev/solar-finance/src/views/account/popup/components/AccountIcon.vue", "Vue", 107, 0, 0, 0, 0, 3, 14, 124
"/Users/peaker/dev/solar-finance/src/views/account/popup/components/AccountSharingPicker.vue", "Vue", 186, 0, 0, 0, 0, 1, 30, 217
"/Users/peaker/dev/solar-finance/src/views/account/popup/components/AccountTypeSelector.vue", "Vue", 151, 0, 0, 0, 0, 1, 25, 177
"/Users/peaker/dev/solar-finance/src/views/account/popup/composables/useAccountManagement.ts", "TypeScript", 0, 76, 0, 0, 0, 18, 20, 114
"/Users/peaker/dev/solar-finance/src/views/account/popup/composables/useAccountSharing.ts", "TypeScript", 0, 50, 0, 0, 0, 23, 10, 83
"/Users/peaker/dev/solar-finance/src/views/account/popup/composables/useAccountTypes.ts", "TypeScript", 0, 84, 0, 0, 0, 36, 10, 130
"/Users/peaker/dev/solar-finance/src/views/book/page/BooksView.vue", "Vue", 72, 0, 0, 0, 0, 7, 17, 96
"/Users/peaker/dev/solar-finance/src/views/book/page/components/BookFilterView.vue", "Vue", 52, 0, 0, 0, 0, 1, 10, 63
"/Users/peaker/dev/solar-finance/src/views/book/page/components/BookFinanceSummary.vue", "Vue", 359, 0, 0, 0, 0, 16, 60, 435
"/Users/peaker/dev/solar-finance/src/views/book/page/components/BookHeader.vue", "Vue", 36, 0, 0, 0, 0, 1, 7, 44
"/Users/peaker/dev/solar-finance/src/views/book/page/components/BookPercentageSlider.vue", "Vue", 281, 0, 0, 0, 0, 8, 40, 329
"/Users/peaker/dev/solar-finance/src/views/book/page/components/BookTransactionGroup.vue", "Vue", 63, 0, 0, 0, 0, 1, 11, 75
"/Users/peaker/dev/solar-finance/src/views/book/page/components/BookTransactionItem.vue", "Vue", 178, 0, 0, 0, 0, 1, 38, 217
"/Users/peaker/dev/solar-finance/src/views/book/page/components/BookTransactionsList.vue", "Vue", 62, 0, 0, 0, 0, 1, 11, 74
"/Users/peaker/dev/solar-finance/src/views/book/page/components/DashBoardBook.vue", "Vue", 25, 0, 0, 0, 0, 0, 4, 29
"/Users/peaker/dev/solar-finance/src/views/book/page/composables/useBookContext.ts", "TypeScript", 0, 255, 0, 0, 0, 47, 58, 360
"/Users/peaker/dev/solar-finance/src/views/book/page/composables/useBookFinanceSummary.ts", "TypeScript", 0, 132, 0, 0, 0, 23, 31, 186
"/Users/peaker/dev/solar-finance/src/views/book/page/composables/useBookSelect.ts", "TypeScript", 0, 105, 0, 0, 0, 15, 20, 140
"/Users/peaker/dev/solar-finance/src/views/book/page/composables/useBookTransactions.ts", "TypeScript", 0, 48, 0, 0, 0, 8, 13, 69
"/Users/peaker/dev/solar-finance/src/views/book/page/composables/usePercentageSlider.ts", "TypeScript", 0, 207, 0, 0, 0, 43, 61, 311
"/Users/peaker/dev/solar-finance/src/views/book/popup/EditBookPopup.vue", "Vue", 35, 0, 0, 0, 0, 1, 5, 41
"/Users/peaker/dev/solar-finance/src/views/book/popup/NewBookPopup.vue", "Vue", 30, 0, 0, 0, 0, 1, 5, 36
"/Users/peaker/dev/solar-finance/src/views/currency/popup/CurrencyPopup.vue", "Vue", 162, 0, 0, 0, 0, 3, 25, 190
"/Users/peaker/dev/solar-finance/src/views/debug/DebugStoreView.vue", "Vue", 193, 0, 0, 0, 0, 4, 23, 220
"/Users/peaker/dev/solar-finance/src/views/debug/components/BaseStoresDebugPanel.vue", "Vue", 203, 0, 0, 0, 0, 4, 19, 226
"/Users/peaker/dev/solar-finance/src/views/debug/components/FinanceStoresDebugPanel.vue", "Vue", 278, 0, 0, 0, 0, 5, 20, 303
"/Users/peaker/dev/solar-finance/src/views/debug/components/SystemStoresDebugPanel.vue", "Vue", 271, 0, 0, 0, 0, 4, 20, 295
"/Users/peaker/dev/solar-finance/src/views/icon/popup/IconSelectorPopup.vue", "Vue", 361, 0, 0, 0, 0, 6, 52, 419
"/Users/peaker/dev/solar-finance/src/views/notification/NotificationsView.vue", "Vue", 255, 0, 0, 0, 0, 2, 42, 299
"/Users/peaker/dev/solar-finance/src/views/notification/components/NotificationDebtItem.vue", "Vue", 205, 0, 0, 0, 0, 1, 16, 222
"/Users/peaker/dev/solar-finance/src/views/notification/components/NotificationItem.vue", "Vue", 167, 0, 0, 0, 0, 1, 14, 182
"/Users/peaker/dev/solar-finance/src/views/notification/components/NotificationList.vue", "Vue", 168, 0, 0, 0, 0, 3, 19, 190
"/Users/peaker/dev/solar-finance/src/views/notification/components/NotificationPopup.vue", "Vue", 215, 0, 0, 0, 0, 1, 35, 251
"/Users/peaker/dev/solar-finance/src/views/notification/composables/useNotifications.ts", "TypeScript", 0, 67, 0, 0, 0, 6, 10, 83
"/Users/peaker/dev/solar-finance/src/views/profile/pages/ProfileView.vue", "Vue", 239, 0, 0, 0, 0, 7, 49, 295
"/Users/peaker/dev/solar-finance/src/views/profile/pages/components/DebugAccess.vue", "Vue", 53, 0, 0, 0, 0, 0, 6, 59
"/Users/peaker/dev/solar-finance/src/views/profile/pages/components/LanguageSettings.vue", "Vue", 61, 0, 0, 0, 0, 0, 8, 69
"/Users/peaker/dev/solar-finance/src/views/transaction/TransactionView.vue", "Vue", 588, 0, 0, 0, 0, 8, 96, 692
"/Users/peaker/dev/solar-finance/src/views/transaction/components/AccountSelector.vue", "Vue", 195, 0, 0, 0, 0, 2, 29, 226
"/Users/peaker/dev/solar-finance/src/views/transaction/components/AmountSection.vue", "Vue", 190, 0, 0, 0, 0, 5, 24, 219
"/Users/peaker/dev/solar-finance/src/views/transaction/components/BookSelector.vue", "Vue", 135, 0, 0, 0, 0, 1, 19, 155
"/Users/peaker/dev/solar-finance/src/views/transaction/components/NumberKeypad.vue", "Vue", 147, 0, 0, 0, 0, 1, 17, 165
"/Users/peaker/dev/solar-finance/src/views/transaction/components/PercentageSlider.vue", "Vue", 57, 0, 0, 0, 0, 3, 8, 68
"/Users/peaker/dev/solar-finance/src/views/transaction/components/TransactionTypeSelector.vue", "Vue", 173, 0, 0, 0, 0, 3, 26, 202
"/Users/peaker/dev/solar-finance/src/views/transaction/composables/index.ts", "TypeScript", 0, 6, 0, 0, 0, 2, 1, 9
"/Users/peaker/dev/solar-finance/src/views/transaction/composables/useAccount.ts", "TypeScript", 0, 132, 0, 0, 0, 37, 27, 196
"/Users/peaker/dev/solar-finance/src/views/transaction/composables/useCategory.ts", "TypeScript", 0, 74, 0, 0, 0, 22, 17, 113
"/Users/peaker/dev/solar-finance/src/views/transaction/composables/useCurrency.ts", "TypeScript", 0, 148, 0, 0, 0, 48, 34, 230
"/Users/peaker/dev/solar-finance/src/views/transaction/composables/useDistribution.ts", "TypeScript", 0, 53, 0, 0, 0, 17, 11, 81
"/Users/peaker/dev/solar-finance/src/views/transaction/composables/useDistributionControl.ts", "TypeScript", 0, 67, 0, 0, 0, 32, 16, 115
"/Users/peaker/dev/solar-finance/src/views/transaction/composables/useKeypad.ts", "TypeScript", 0, 38, 0, 0, 0, 22, 7, 67
